,Item_Names,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Devourer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Terrorblade,Phoenix,Oracle,Winter Wyvern
10,quelling_blade,{'power_treads'},"{'tpscroll', 'tranquil_boots', 'blink'}",,"{'bottle', 'power_treads', 'magic_wand', 'phase_boots', 'tpscroll'}","{'tpscroll', 'tranquil_boots', 'power_treads'}",{'power_treads'},"{'tpscroll', 'blink'}","{'phase_boots', 'tpscroll', 'magic_wand', 'power_treads'}",{'power_treads'},{'power_treads'},"{'tpscroll', 'power_treads'}","{'power_treads', 'diffusal_blade', 'magic_wand', 'tpscroll', 'blink'}","{'bottle', 'blink', 'tpscroll', 'power_treads'}","{'bottle', 'tranquil_boots', 'power_treads', 'tpscroll', 'blink'}",,{'blink'},"{'bottle', 'tpscroll', 'magic_wand', 'power_treads'}","{'tpscroll', 'power_treads'}",{'power_treads'},,"{'tpscroll', 'phase_boots'}",,"{'phase_boots', 'tpscroll', 'power_treads'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'arcane_boots', 'power_treads'}","{'tpscroll', 'blink', 'magic_wand', 'power_treads'}","{'power_treads', 'arcane_boots', 'magic_wand', 'tpscroll', 'blink'}","{'tpscroll', 'arcane_boots', 'power_treads'}",,"{'tpscroll', 'power_treads'}",{'blink'},"{'travel_boots', 'bottle', 'soul_ring', 'power_treads', 'tpscroll'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'magic_wand', 'power_treads'}","{'tpscroll', 'power_treads'}",{'power_treads'},"{'bottle', 'power_treads', 'magic_wand', 'mask_of_madness', 'tpscroll'}","{'bottle', 'power_treads', 'magic_wand', 'phase_boots', 'tpscroll'}","{'bottle', 'power_treads', 'magic_wand', 'phase_boots', 'tpscroll'}","{'bottle', 'power_treads', 'magic_wand', 'phase_boots', 'tpscroll'}",{'tpscroll'},"{'tpscroll', 'blink', 'magic_wand', 'power_treads'}",{'power_treads'},,"{'bottle', 'power_treads', 'magic_wand', 'phase_boots', 'tpscroll'}","{'tpscroll', 'magic_wand', 'power_treads'}",,,"{'tpscroll', 'power_treads'}","{'bottle', 'stout_shield', 'magic_wand', 'phase_boots', 'tpscroll'}",{'tpscroll'},{'power_treads'},"{'arcane_boots', 'tpscroll', 'magic_wand', 'power_treads'}","{'tpscroll', 'power_treads'}",{'power_treads'},"{'phase_boots', 'tpscroll', 'power_treads'}","{'bottle', 'soul_ring', 'power_treads', 'magic_wand', 'tpscroll'}","{'power_treads', 'tpscroll', 'phase_boots'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'blink'}","{'tpscroll', 'power_treads'}","{'vanguard', 'bottle', 'power_treads', 'magic_wand', 'tpscroll'}",,"{'power_treads', 'magic_wand', 'phase_boots', 'tpscroll', 'blink'}",{'phase_boots'},{'power_treads'},,"{'radiance', 'travel_boots', 'bottle', 'magic_wand', 'tpscroll'}","{'phase_boots', 'tpscroll', 'power_treads'}",{'power_treads'},"{'tpscroll', 'power_treads'}","{'bottle', 'boots', 'phase_boots', 'vladmir', 'tpscroll'}","{'tpscroll', 'blink', 'power_treads'}","{'tpscroll', 'magic_wand', 'power_treads'}","{'bottle', 'power_treads', 'magic_wand', 'phase_boots', 'tpscroll'}","{'tpscroll', 'magic_wand', 'power_treads'}","{'power_treads', 'ultimate_scepter', 'magic_wand', 'tpscroll', 'blink'}","{'bottle', 'power_treads', 'arcane_boots', 'magic_wand', 'tpscroll'}","{'tpscroll', 'arcane_boots', 'power_treads'}",,"{'tpscroll', 'magic_wand', 'power_treads'}",{'tpscroll'},"{'tpscroll', 'arcane_boots', 'power_treads'}","{'radiance', 'travel_boots', 'bottle', 'ring_of_aquila', 'tpscroll'}","{'tpscroll', 'tranquil_boots', 'magic_wand', 'power_treads'}","{'bottle', 'tpscroll', 'magic_wand', 'power_treads'}",{'tpscroll'},"{'tpscroll', 'magic_wand', 'power_treads'}","{'tpscroll', 'power_treads'}","{'bottle', 'power_treads', 'magic_wand', 'phase_boots', 'tpscroll'}",{'tranquil_boots'},"{'bottle', 'power_treads', 'arcane_boots', 'tpscroll', 'blink'}","{'tpscroll', 'power_treads'}","{'tpscroll', 'magic_wand', 'power_treads'}",{'tpscroll'},{'tpscroll'},"{'power_treads', 'tpscroll', 'magic_wand', 'phase_boots'}","{'tpscroll', 'power_treads'}","{'bottle', 'magic_wand', 'phase_boots', 'tpscroll', 'blink'}","{'tpscroll', 'soul_ring', 'power_treads'}","{'bottle', 'tpscroll', 'power_treads'}","{'tpscroll', 'power_treads'}","{'bottle', 'ring_of_aquila', 'magic_wand', 'phase_boots', 'tpscroll'}",,"{'bottle', 'tpscroll', 'magic_wand', 'power_treads'}",{'tpscroll'}
11,ring_of_protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,gauntlets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,slippers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,mantle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,branches,{'power_treads'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'tpscroll', 'power_treads'}",,,,,,,,,,,,,,,,,,,"{'bottle', 'tranquil_boots', 'arcane_boots', 'tpscroll', 'blink'}",,"{'tpscroll', 'power_treads'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,belt_of_strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,boots_of_elves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,robe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,circlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
