match_id,key,slot,time,unit,polarity_score,sentiment_label
7072,xd,8,3003,McDonald,0.5859,Positive
38642,fucking,8,2449,Underworld,0.0,Negative
21107,gl,2,-48,[eXp]ZQ,0.3182,Positive
1415,k,6,3181,ExtraGT,0.0,Negative
41857,didnt go,4,704,GG reborn,0.0,Negative
47067,oh yeah,3,269,Feelin Like Pro ..|..,0.296,Positive
1444,lol,1,4709,THE CHINK IN THE ARMOR,0.4215,Positive
35035,gg,0,2474,s1m13,0.296,Positive
12681,doom feed,1,2556,LoDa_style,-0.4019,Negative
44143,v,8,2262,Littlebaby,0.0,Negative
41576,best random ever,0,2223,Good Gay Well Played,0.6369,Positive
9181,nice swap,5,2601,Убийца мангуста,0.4215,Positive
32925,edi wiw,5,2523,ShingShangFu,0.0,Negative
11527,shas bi,3,1054,gribi,0.0,Negative
35943,miracle real,3,1592,RUN BITCH,0.5859,Positive
10435,wooow,6,310,GoD.JR,0.0,Negative
37741,ez win,8,3024,Demolition!,0.743,Positive
37727,gl gl,6,-20,GodLike#[69]*,0.5574,Positive
731,lel,7,3200,fRo0nE_,0.0,Negative
9686,ni hao yun ba le,0,2519,Love Dendi,0.0,Negative
21588,ama spectre,2,2407,Bellicose,0.0,Negative
617,gg mate,2,1230,Dreddybajs,0.296,Positive
40471,wa,7,2423,兰桂坊U.S.B,0.0,Negative
35643,wp,7,1474,raging patatas,0.25,Positive
42614,die many time invis hero,9,1629,ƊɪƦحϞªρρ'∂(ง'-')ง,-0.0772,Negative
21010,join wrong game,4,-9,Sapo,-0.2263,Negative
13815,ez,1,531,eudaimon,0.3612,Positive
16609,wtf,5,-69,`MPJ,-0.5859,Negative
34886,shallow grave,7,2422,Miracle~,-0.3818,Negative
34090,ez mid,7,146,road to 4k!,0.3612,Positive
34499,end,7,975,Hasht5-->PauL,0.0,Negative
29682,мы тут сучка,9,-29,GREK,0.0,Negative
13361,got wedding,4,1396,setomeister,0.0,Negative
33537,lol,9,1513,1manarmy,0.4215,Positive
9611,wut bug,2,1718,Nao (っ˘ω˘ς),0.0,Negative
36516,dont def,9,1081,nevercore.fear,0.0,Negative
25162,g,2,-81,-Mr.P0tAt0-,0.0,Negative
43689,ty,8,1861,@Suffocant,0.3818,Positive
2875,ezzzzzzzzzz,9,1553,Sx.AKeNZo,0.0,Negative
42156,hi,0,2,Lemon Chicken Sandwich,0.0,Negative
23920,getting dejavu yugi,8,1298,Bart,0.0,Negative
19288,whatever wait,2,1111,Ds*,0.0,Negative
49883,fuck paris,6,-44,???????,-0.5423,Negative
36792,лина,1,856,[Wollves] Zaharko,0.0,Negative
35830,fin,6,2118,< blank >,0.0,Negative
49060,pudge,7,1494,-SeRi0us^FTW,0.0,Negative
26190,wp,2,590,WotanJugend,0.25,Positive
45771,ez,9,2156,Silent-Strike,0.3612,Positive
5493,idk bother,8,1029,Jeef,-0.4215,Negative
39049,haha,4,3105,RJY d=_=b,0.4588,Positive
671,sure,3,622,JIP JIP,0.3182,Positive
47608,dual,1,188,unknow player,0.0,Negative
23884,ez,1,2503,BldyMasscre,0.3612,Positive
43060,tp top,9,2235,Kyzen,0.2023,Positive
12486,didnt u run like,7,1926,ZeRoX-j21,-0.2755,Negative
38056,стоит дерется,8,3668,Mithrandir,0.0,Negative
22192,atleast b training farm session,4,1494,imSibin,0.0,Negative
29705,thanks,1,2086,ARTOUR BABAEV,0.4404,Positive
12648,wp,2,2061,MaDnEsS`,0.25,Positive
36012,gg,1,-26,Meshi,0.296,Positive
49913,think ur goodo,5,2348,rohan,0.0,Negative
12596,para puto,3,1398,Gil,0.0,Negative
8416,valve issue,9,-79,Secret.Recipe®,0.0,Negative
33396,year,4,1739,Xeneize,0.0,Negative
48393,commend,5,904,r1s@y,0.4404,Positive
46871,report jugg,6,3153,R2-D2,0.0,Negative
24745,typical peruvian,6,828,Kappa - Sephiroth ㋡,0.0,Negative
5956,b el hc,5,1941,YonomateaKENNY↓↓↓,0.0,Negative
34264,gg,1,2283,Dieharder401,0.296,Positive
33652,report win,7,3479,top of wolf ;.....; Sugar,0.5859,Positive
8340,ayoko na,2,2772,P R O K O P Y O,0.0,Negative
9688,gg kid,1,3604,zRagm...,0.296,Positive
43679,gg,3,2990,123,0.296,Positive
19429,gg good game,0,1721,٧õяτėχ,0.6249,Positive
16257,gg,4,1629,SG.Master,0.296,Positive
24450,un caga dota report,9,1736,ivanlo_9,0.0,Negative
41864,ggwp let go,0,3242,Nuke,0.0,Negative
40835,ska,3,1710,KÖNiG kessu? [PP],0.0,Negative
11139,second left,5,723,Madison Ivy,0.0,Negative
8179,nice bash,7,1471,living legend,0.4215,Positive
15699,u got,9,1988,squirtle,0.0,Negative
36608,comeback,5,-204,ehh ech ehh,0.0,Negative
23988,puy,9,3826,brie,0.0,Negative
27595,pussy ur mom,1,197,halel,0.0,Negative
49118,omg,6,2959,QX,0.0,Negative
45709,pudgeee,7,-39,Lord Garithos,0.0,Negative
488,decent build,2,1728,عدالة,0.0,Negative
951,cm agh,0,1310,Joker111,0.0,Negative
36340,fuck,3,1579,MehMeh,-0.5423,Negative
3889,report feeder invo,9,431,Hailie,0.0,Negative
37789,weaver lose game,4,3907,Spleenchik,-0.4019,Negative
13428,report lich guy,9,1080,nexik1115 || Road to 4k,0.0,Negative
10682,get,3,2021,da.dogg$layer<3,0.0,Negative
23234,ty mek,1,1811,fs,0.3818,Positive
37220,петух лол,9,2154,godzila,0.0,Negative
18114,worth,4,1841,NIMAH,0.2263,Positive
23787,que asno e ese slardar,9,768,Pokeke,0.0,Negative
22038,midas,3,1489,FaeL__,0.0,Negative
2550,minute def,7,2440,schuberto,0.0,Negative
4483,dont get,6,1890,ptDisco,0.0,Negative
24567,gg,2,1787,Prokopyo Kurdapiyo,0.296,Positive
15325,easy,6,1169,Standin.D A Z E L L E,0.4404,Positive
1579,lmao,7,1618,HEHE DOTA IKS DEH,0.5994,Positive
22897,nm,6,1262,Memo057,0.0,Negative
36825,ty,0,2014,Yafa,0.3818,Positive
26557,ebalo zakroy musor,0,1222,HESOYAM,0.0,Negative
22392,rofl,6,2871,Saltz,0.5719,Positive
45657,lol,0,3339,MooK,0.4215,Positive
21959,til major,2,88,Rave Doctor,0.0,Negative
247,gg,4,2099,Pefko,0.296,Positive
24421,u cant see,0,1327,Just a scrub boy,0.0,Negative
12709,ye,5,1462,HorseFeeder,0.0,Negative
32932,lel,2,883,iRapeUnicorns,0.0,Negative
31185,alchemist get radi time pl,9,1876,ElmoTheMighty,0.0,Negative
23406,nnob likr shit,6,1570,♋sExyBamboOㄟ(￣(ｴ)￣)y-,-0.5574,Negative
32447,fast,2,1883,(Xion)_@NdRe1&=D,0.0,Negative
36799,ахахахха,7,2199,Vanecz69,0.0,Negative
25249,loser,5,2597,RythmEsDeaTh,-0.5267,Negative
33305,good cheese,5,2005,Microsoft Word,0.4404,Positive
10444,nice,5,657,dark knight,0.4215,Positive
43823,k xd,2,-60,F i v e,0.5859,Positive
5203,mal,8,2641,..?..BAILANDO..?..,0.0,Negative
21921,moriras win uu,6,1579,εїз Harumi εїз,0.5859,Positive
46197,norm,5,3060,OoOoOoO,0.0,Negative
28830,radi soon,4,1543,LazVegaz,0.0,Negative
9454,dead,1,323,nongnong13,-0.6486,Negative
8903,g,5,-64,al1,0.0,Negative
27772,ez,2,2955,smokez0r,0.3612,Positive
10115,место лайна,9,1815,Prins_Na_BMW,0.0,Negative
8496,blow,0,2802,GodZ-Of-Dota,0.0,Negative
35519,el tiny,4,1980,Angelov,0.0,Negative
6297,ezz mid,0,2911,keep walking,0.0,Negative
15566,gg wp,3,2948,Stryd,0.4939,Positive
18944,stfu,8,921,Siloking,0.0,Negative
23183,last game lost coin,4,-37,Apachi,-0.3182,Negative
22583,mkb instead daedalus,6,2255,B.I.G.,0.0,Negative
45694,reconecting min already,8,260,- 6 - K -,0.0,Negative
34985,лол,4,1660,Dude (*******),0.0,Negative
27540,report oracle,8,1065,PANDA,0.0,Negative
38796,ff pls,9,873,1v9,0.4767,Positive
40417,ggwp,8,1731,•,0.0,Negative
31528,lina pro,4,106,Samson,0.0,Negative
39346,could killed three,0,2272,KAWY,-0.6705,Negative
26302,begi,9,1385,BVYVNZA,0.0,Negative
22345,got c,3,612,Roronoa Zoro,0.0,Negative
43705,quit nah kayo kaha muh,1,-28,ŽíÖà¿ç?·,-0.1027,Negative
27453,wp wp,3,1763,ユークリウッド・ヘル�,0.4588,Positive
13811,lol,0,-49,Seohyun,0.4215,Positive
463,he gone,8,2070,stevey slick,0.0,Negative
38578,come,4,2994,Fucking Novice European,0.0,Negative
743,gg,9,1194,kawai >_<,0.296,Positive
27908,nice,8,1081,B  i  n,0.4215,Positive
37575,lolmao,0,1833,antidouppi megafätti,0.0,Negative
14986,ez mid,5,2952,Mesuzuko | M-God,0.3612,Positive
30197,suka ebana,3,1328,Pro Mode ON,0.0,Negative
26145,min pls,9,532,William,0.0772,Positive
49188,defend,7,1327,傻逼xy,0.0,Negative
47267,rolf,4,217,@Weregamma,0.0,Negative
39273,commend,7,1636,I.C. Wiener,0.4404,Positive
16169,wp invoker,8,3087,iLTW,0.25,Positive
43188,another great start susan,4,12,pooMonger,0.6249,Positive
37477,rlx,8,679,FAZ O BOLAGATO,0.0,Negative
32637,maan,2,3545,Natalie Suportman,0.0,Negative
7262,man,0,2408,Taz,0.0,Negative
24089,que asco por la reconchatumadre,8,575,lwl_RAvEN_lwl,0.0,Negative
19221,ez mid,0,2184,dadada,0.3612,Positive
27870,ezy hard mid,0,2297,Skay,-0.1027,Negative
23472,luck win,7,3236,Zylocks,0.7783,Positive
49335,gg,0,2604,Vaibhav_1995,0.296,Positive
21072,road k v,9,2200,[Another]TeelItchy,0.0,Negative
49695,apa bali,8,737,AllahHuaaakkbarrr,0.0,Negative
20953,support,2,652,[LPG] xIFaDe,0.4019,Positive
46703,animal,8,2964,revenge,0.0,Negative
207,gg,9,3905,Focus OnME,0.296,Positive
9815,cant understand team,2,3166,(`_-''),0.0,Negative
45056,go mid,7,1616,-_AmaZinG_-,0.0,Negative
34555,gj team,1,1089,putito la escaleraaa te salvara,0.4588,Positive
40093,kk,2,1576,Ô do aço!,0.3612,Positive
364,lol,5,2365,Ign33L.火竜,0.4215,Positive
44676,yeah super pain,1,3047,~-PPY-~,0.4215,Positive
701,hey people want ultimate throw,6,2133,sho`shie,0.0772,Positive
40497,feed win,0,2114,No Faith In My Team,0.5859,Positive
6148,espera,0,290,Two_Oliver,0.0,Negative
32220,k medium,0,2716,ThiefElusid,0.0,Negative
9181,guy buy dust something,5,2628,Убийца мангуста,0.0,Negative
29088,gg,9,771,c0rdy_,0.296,Positive
3278,я жив сасать,3,2665,mNk,0.0,Negative
49210,ey,0,1982,GG,0.0,Negative
10620,lol,7,998,Our future is Xboct.&1t;4,0.4215,Positive
34014,dont want win,8,1356,M,-0.5096,Negative
10078,xd,2,3070,LP_for_life||5P,0.5859,Positive
13423,plz report team,8,1848,SpaceGhostNaftalina,0.0772,Positive
5956,ot mn,5,27,YonomateaKENNY↓↓↓,0.0,Negative
5752,mamu li vam jebem,9,2454,salkOni,0.0,Negative
33929,im hard u guy,4,2828,[EOD] mhaikz,-0.1027,Negative
26200,bakit ka ng dota,3,1722,Fuck The Foliceman \m/,0.0,Negative
24826,ggwp,9,2176,JohnCenaDota,0.0,Negative
44041,аххахаха,6,1662,Cinderella.BliDzZ,0.0,Negative
546,pa pa,5,1187,"Kyte "")",0.0,Negative
42110,gg,5,2127,I♥RNB@KEYCLUB,0.296,Positive
34232,player ball,2,801,Standin. HimaLA,0.0,Negative
44821,с такими,5,1710,Nintendo.Wc3,0.0,Negative
30743,man,9,3239,HOWDOUGETWOOD,0.0,Negative
31623,looooooool,5,2197,JUST TALK TO ME,0.0,Negative
38676,gg,0,2198,:3,0.296,Positive
1296,parang comedy,6,3480,V E N Z,0.3612,Positive
19916,carry silencer,6,1634,FUCK LA,0.0,Negative
44085,zeus gem back,2,2616,PanicKing,0.0,Negative
32685,papus,1,-73,TaKaSHi WeeD,0.0,Negative
48650,feeder elder,6,593,rastaaamaaan420,0.0,Negative
42589,u blow dick,0,977,Fireman247,-0.5106,Negative
9854,wan,1,552,7676,0.0,Negative
25592,go end piece shit,3,407,INK|VICTOR,-0.5574,Negative
31938,alch team farm,2,2220,Saa Daw Fin,0.0,Negative
47465,gg,4,2076,SQY(Saga),0.296,Positive
49468,wohoo,1,2481,4 tards in my team :(,0.0,Negative
16478,report ember,7,1993,MaDeMaN,0.0,Negative
3735,ulti omni,6,3323,-;҉DƦo҉ U҉҉ M-,0.0,Negative
41558,knew pinoys bad,2,1840,SD.MLGandalf,-0.5423,Negative
19441,jajaj,0,2255,Тhe dark lord,0.0,Negative
47301,gg wp,9,2867,Mr. M,0.4939,Positive
29644,kill shiut bird,8,1499,Buggeh,-0.6908,Negative
26649,dont,5,2093,Captain_Skull,0.0,Negative
2220,xd,9,2224,†JazZ†,0.5859,Positive
19465,k,8,2591,Kali Muscle,0.0,Negative
19093,mega retarded,6,1887,DAMAGE,-0.5719,Negative
15735,ty,7,1865,LastR1se,0.3818,Positive
30971,talk,0,1948,`MLT DaLE :P,0.0,Negative
45527,mean saved ally top,1,2267,Mottley,0.5574,Positive
21138,okay viper best thats count,8,33,2 sekunder,0.7269,Positive
15756,yes,5,2600,Wiwey,0.4019,Positive
42073,youll probably win,0,-86,Qwerty_,0.5859,Positive
6580,end please guy,1,1670,@Ezel.isBaCK,0.3182,Positive
36146,u alch dont need,4,83,Inferi,0.0,Negative
47895,got cream,9,525,Deez_Nuts,0.0,Negative
19089,said,6,1260,OB,0.0,Negative
7866,lol,2,1653,[AL]Noctis,0.4215,Positive
9081,cute,9,-69,RaiN.,0.4588,Positive
29446,rofl,5,1604,netflix and chill with me plox,0.5719,Positive
15493,p,9,2107,Kunj,0.0,Negative
36272,commend,9,1346,I DON'T WANNA DIE,0.4404,Positive
28946,norma,8,811,Люблю Рампажки,0.0,Negative
13055,mid,8,1698,iNk-Šз¢язť-'Æ'-'♪,0.0,Negative
46722,end mid,3,2189,[BK]Edpeva^^|,0.0,Negative
46994,lion shit,6,1534,// LEO //  PC //,-0.5574,Negative
25313,haha,9,1731,[L]ittle,0.4588,Positive
18495,gg,5,2098,pekka jormakka,0.296,Positive
49333,gg,1,221,I'm SMD,0.296,Positive
39049,lose,2,2509,Pukimah Kau,-0.4019,Negative
22592,пиздец,2,2991,ObyVanBananan,0.0,Negative
33376,repor,0,3763,[S.O.K.A],0.0,Negative
28716,gg,8,2536,zidclaw,0.296,Positive
49075,pro abbadon,2,2507,NY| tiger,0.0,Negative
36310,haha,2,1648,GH.min,0.4588,Positive
10464,хули ты обзываешься,2,2016,Hurricane (Ohae),0.0,Negative
22743,ретард,5,-83,GIB DROP GABE ༼ つ ◕_◕ �,0.0,Negative
42413,im rating moment,2,2017,Gaelic,0.0,Negative
12560,enjoy mmr,4,1078,Jizz Syrup,0.4939,Positive
45178,плиз,2,3568,Mr_Vayt,0.0,Negative
7456,rp pls,9,2017,imba'ss,0.0772,Positive
8057,ptm,6,68,Igneel,0.0,Negative
20585,ez bot,7,1178,BupTuk =),0.3612,Positive
5612,gg,2,3192,ScSt.Krypticz,0.296,Positive
21377,brain,2,1633,Flux,0.0,Negative
38435,ele joga muito,2,820,Sartre,0.0,Negative
34369,best,4,1715,Haktaru,0.6369,Positive
12847,huge letter across front page,7,2525,misternumberone,0.3182,Positive
19038,report please,5,457,obergine,0.3182,Positive
26964,wr constantly speaking russian,0,1461,Sulfur Hexafluoride,0.0,Negative
24127,thnanks coin,2,2375,Mesuzuko | M-God,0.0,Negative
37062,denied,7,1278,IPKJP,-0.4404,Negative
43847,gg,2,2295,mys,0.296,Positive
47017,gg,5,607,.kkZ,0.296,Positive
49901,lol,6,3152,Dre,0.4215,Positive
34463,mor rax go,2,3140,Bon,0.0,Negative
45662,gg,3,3019,Jesse Pinkman,0.296,Positive
169,maybe,8,781,@Kloud #HeForShe 我会一直�,0.0,Negative
10504,ffs,4,1060,Firefix,-0.5859,Negative
31820,ggwp,3,2294,kulaklara joker kulaklara,0.0,Negative
33897,focus egg,9,-29,Flex Luthor,0.0,Negative
2786,uh huh,0,2654,ptDisco,0.0,Negative
24794,whats gme,2,715,Mr Unicorn,0.0,Negative
42791,gg lad,8,1938,50 shades of banter,0.296,Positive
43209,every game v one u scrub boring shit,8,1537,Temporary Figurant,-0.7096,Negative
28759,не паузу нажать,8,676,Ironhide,0.0,Negative
3259,gg wp,9,3041,KuMarik,0.4939,Positive
13757,gg,0,2156,(,0.296,Positive
8136,lol,9,2227,cchew1998,0.4215,Positive
2569,lol,4,2276,mushroomgurl10,0.4215,Positive
38535,end,4,1961,Corleone,0.0,Negative
39822,nice team,0,2325,[Ap]-EsTeF4No^^!.is.BacK,0.4215,Positive
36512,вп,7,2771,EventHorizon,0.0,Negative
12972,u,5,424,ART OF TROLLING,0.0,Negative
6937,haha,8,2079,DragonShield,0.4588,Positive
36836,gg,5,1793,Popeye da Erva,0.296,Positive
18835,bonus qop,4,1535,FouriFive<3,0.5423,Positive
35711,ezy,8,4433,Arguru,0.0,Negative
32025,tmr,6,512,*BLIZZ*,0.0,Negative
8950,lmao,9,2283,Vendetta,0.5994,Positive
14322,ggwp,7,2760,trollfederer,0.0,Negative
23168,fury,4,2444,*****,-0.5719,Negative
654,noob got item,3,2173,Steve,-0.0516,Negative
22701,ez,1,2128,morbidlyobesefrog,0.3612,Positive
1984,pc hang,0,-11,Ｙ Ｈ Ｅ Ｌ,0.0,Negative
14655,nvm guees,7,-52,Mola Mola,0.0,Negative
6481,space created,8,2474,Dr. Boomboom,0.25,Positive
39091,разор вп,5,2746,BuBuZyB,0.0,Negative
4300,gg,4,2029,Jesus Charlie,0.296,Positive
19040,stfu trash,0,652,"""R3DZY""",0.0,Negative
45417,gg,0,3332,Thomash,0.296,Positive
8579,yep,1,937,I Nate Higgers,0.296,Positive
11564,easy,5,2452,1505.LegenD,0.4404,Positive
13583,gg,6,2128,h8m3,0.296,Positive
25512,hard,7,1660,weTTowel,-0.1027,Negative
6575,welp,4,2904,womendriverslol,0.0,Negative
23271,pls,1,1413,< blank >,0.0772,Positive
34125,rage afk,0,550,O.G A$$H0LE™,-0.5574,Negative
41296,nem galo meu time comprou,9,442,M|H*ShOwTimE,0.0,Negative
37149,hahaha,6,1199,Hi Shin Unit,0.5574,Positive
24097,ftw,9,2618,jo`s deathwish is 6k mmr,0.4588,Positive
34942,happy,2,1610,SagInTheBag,0.5719,Positive
30457,hi pudgey,4,-24,partyN3VERstop,0.0,Negative
42930,nigga come back,4,2842,*YOLO*,0.0,Negative
48744,триста,9,2096,675 pts lose streak 2015,0.0,Negative
48099,viva taco,8,2105,Jacerzz,0.0,Negative
46518,gungs,3,682,happy little tree,0.0,Negative
38424,lol,0,1637,Mörka_LönnmördarN,0.4215,Positive
48199,gg,6,4180,KalexMarin,0.296,Positive
12366,good,8,2136,unLOVEable,0.4404,Positive
44838,next time,8,3279,Yerod,0.0,Negative
11289,whats sad sniper pa necro bad,5,2729,Trump 2016,-0.765,Negative
35966,sure,9,1813,adfaewr 235r 123 12,0.3182,Positive
33967,never go shadow blade hero,4,1712,Zhedge,0.5574,Positive
42823,sf,1,42,Ariito,0.0,Negative
6572,team comp poop,3,2069,[Sell],0.0,Negative
46234,brood bot lol,3,2281,Sola gratia,0.4215,Positive
26601,шторму и пуджу репорт,8,1980,Colorado,0.0,Negative
2115,bruto,6,3341,[Im Back] CASTRO,0.0,Negative
27280,sf,6,2735,Jend. Sudirman,0.0,Negative
29275,go throne,1,3029,ALASKA,0.0,Negative
14792,look,2,568,God Bless,0.0,Negative
9179,supp buy ward,4,1438,MASAYOSHI,0.0,Negative
24392,true,7,1115,5HG Warp Belief,0.4215,Positive
8664,remake ppls,0,54,Durugista.maCam,0.0,Negative
32565,pra acabar,9,1569,CND.B.[Moura].D,0.0,Negative
10750,fai,1,1076,BoySakalKumot,0.0,Negative
9654,yes u gonna sec,3,4344,"Shin always eat,XR always brush",0.4019,Positive
40791,e achar,7,3710,Reeper,0.0,Negative
20769,gl hf,3,13,FuckYouLoL,0.3182,Positive
39585,raport,7,-39,Joel,0.0,Negative
20953,ghahaha,5,1404,art,0.0,Negative
6067,thought dammage,9,2304,Ethereal,0.0,Negative
12392,commend tinker,6,2442,a# - Auburn,0.4404,Positive
38303,yeah make better logo,0,2753,chińczyk.,0.6249,Positive
21317,ментов домик,4,1998,Колони,0.0,Negative
47395,kunkka daga,7,1778,Lord Emperor,0.0,Negative
15877,qop,3,1993,"<font face=""Ravie"">RafaRaeZz �",0.0,Negative
8780,trying type l,3,2099,McPoopButt,0.0,Negative
48895,gg wp,0,2127,乙中號Ť,0.4939,Positive
1843,venge,0,501,haoz.,0.0,Negative
950,def,7,2548,セイバー,0.0,Negative
13434,since dota,5,1047,YSL,0.0,Negative
37219,wr wp,8,977,Dotyx.,0.25,Positive
49446,said good day sir,4,2006,ᅚπ,0.4404,Positive
1797,waited ur slardar,4,1149,[MnK]T3cKy,0.0,Negative
41907,tusk friend,0,2123,Darude - Sandstorm,0.4939,Positive
30807,care wr,2,2000,TG|-Max^^,0.4939,Positive
10063,nice,3,1040,"[J-F]""SET 141=====>""",0.4215,Positive
29059,го в,6,2087,Jlёwaツ,0.0,Negative
45694,shouldnt play dota dont time man,0,387,[TS].Sayaki,-0.2584,Negative
25191,si claro,4,2028,Predator,0.0,Negative
22949,ggwp,6,2178,Sven's Bratwurst,0.0,Negative
42819,report legion,1,2108,psiho,0.0,Negative
2129,early,8,1990,Alone3x-Ks,0.0,Negative
1950,price,6,-42,-ρεянαрѕ.sαi ッ,0.0,Negative
35376,lost,5,2152,BlauArschBube,-0.3182,Negative
12729,ahahaha,4,1116,-Chesster-,0.0,Negative
31111,team,7,98,leyto,0.0,Negative
18249,gg,4,2518,Reisus,0.296,Positive
21522,ахахах,9,487,хардкорщик,0.0,Negative
8117,im bored,0,642,CLASIC USA SHIT PLAYER,-0.2732,Negative
21873,pls,8,-72,ag tmre,0.0772,Positive
34414,look feed,2,2440,Time to troll and feed,0.0,Negative
33278,hahaha noob,9,548,notoriouslyMAC,0.5267,Positive
35827,trying long game,3,1269,pottatoHead,0.0,Negative
24392,hasnt valve fixed,1,1069,JOHN CENA,0.0,Negative
16068,waited atleast minute,4,-58,product placement with taco bel,0.0,Negative
1288,gg,4,1917,R o b o T,0.296,Positive
26224,dont blame e plz,8,120,leasey^,0.2057,Positive
48920,know go,8,1334,Chumpy,0.0,Negative
11715,nice support silencer,9,1634,Jimmiq,0.6705,Positive
22038,report treant mid please,3,1273,FaeL__,0.3182,Positive
16120,gg,9,2656,五五五只猪,0.296,Positive
35839,hahaha,3,11,SuperProxy,0.5574,Positive
8071,whyy,5,575,ABCDEFGHIJKLMNOPQRSTYUVWXYZ,0.0,Negative
5391,pls guy finish,9,2040,Tuft-kid,0.0772,Positive
39805,xddd,6,1275,Sadhill - c la meeeerde,0.0,Negative
30965,gg,3,2189,Chill,0.296,Positive
7543,u die agian,5,691,Ἀρης*Ares,-0.5994,Negative
26560,noob lc thats,7,892,nillefee,-0.0516,Negative
46100,talk,6,1212,JokEr,0.0,Negative
12878,wp,8,2621,#. B o s s,0.25,Positive
498,uyy,8,725,mS.GEraLYN,0.0,Negative
10647,r,0,2681,CASPER,0.0,Negative
39653,gg,9,1904,Homer_J_S,0.296,Positive
22885,free nao,5,1524,DINIS,0.5106,Positive
33241,bisaya version,1,1639,Chloë Grace Moretz ♥,0.0,Negative
6579,bro,5,1806,verycoolveryswag,0.0,Negative
5774,end game plz afk,9,1487,andreç,0.0772,Positive
28962,report,7,2235,ON1.k0vt@n,0.0,Negative
30143,niceee,2,1018,Ninetails ✪,0.0,Negative
26869,u win,5,2175,bin thành,0.5859,Positive
25028,worth,1,954,Jinn,0.2263,Positive
22581,gg ez,4,2253,Nesquikk,0.5719,Positive
48650,wasting time,5,902,۩͇̿V͇̿I͇̿P͇̿۩ *PRO*,-0.4019,Negative
30738,gg wp,2,2835,King,0.4939,Positive
40785,think latino salty,0,2279,Bat Out of Hell,0.0,Negative
11871,wow craggy,6,1868,Jack Sparrow,0.5859,Positive
32971,lan,1,1733,Grim Fandango,0.0,Negative
46779,first second,3,2398,THuG LIF3 69,0.0,Negative
33032,lol playing dead,3,3555,ComputerThug,-0.1779,Negative
27055,cute,3,1896,Okingwafu-,0.4588,Positive
8364,lg,7,178,Zoro,0.0,Negative
26192,haha,4,2268,VIGIL CODEX -_-,0.4588,Positive
37582,сосешь,5,134,Jank,0.0,Negative
23311,maricas,8,3308,Bajamutt,0.0,Negative
5909,lich frost armor,8,433,Bleezieeeee,0.0,Negative
7087,ty guy,6,2186,str-,0.3818,Positive
18552,nice ward,9,1245,Destiny,0.4215,Positive
31434,best bg,0,2252,°°N.W.A-TEAM°°,0.6369,Positive
11501,gg ez gae,9,3052,Vladokid,0.5719,Positive
